Builder,wheels,Name,road number,Brand,product line,Store,Status,DCC,Sound,Smoke,decoder,Price
American Locomotive Company,4-8-8-4,big boy,4014,Athearn,Genesis,model train stuff,obtained,y,yes,no,tsunami,655
American Locomotive Company,4-6-6-4,challenger,3826,Broadway Limited Imports,Brass Hybrid,ebay,obtained,y,yes,no,paragon4,700
Baldwin Locomotive Works,2-8-8-2,mallet,3672,Proto 2000,Proto,ebay,obtained,y,yes,no,esu loksound,343
Baldwin Locomotive Works,2-8-8-2,Y6b mallet,2190,Broadway Limited Imports,Brass Hybrid,factorydirect,obtained,y,yes,yes,paragon4,470
American Locomotive Company,2-8-8-0,bullmoose,3551,Broadway Limited Imports,Brass Hybrid,trainworld,obtained,y,yes,yes,paragon4,760
Baldwin Locomotive Works,2-10-2,TTT-6,5053,Broadway Limited Imports,Brass Hybrid,ebay,obtained,y,yes,no,qsi,608
American Locomotive Company,4-12-2,heavy,9028,Broadway Limited Imports,Brass Hybrid,iron planet ,obtained,y,yes,yes,paragon4,720
American Locomotive Company,4-10-2,overland,5090,brass,Brass     ,,searching,n,no,no,,
American Locomotive Company,4-8'4,northern FEF,844,Broadway Limited Imports,Brass Hybrid,trainworld,obtained,y,yes,yes,paragon3,560
American Locomotive Company,4-8-2,mountain MT-73,7002,Broadway Limited Imports,die cast,ebay,obtained,y,yes,no,paragon2,489
Baldwin Locomotive Works,4-6-2,pacific,3203,,,,searching,n,,,,
Cooke Locomotive and Machine Works,4-6-0,ten,1242,,,,searching,n,,,,
American Locomotive Company,2-8-2,mikado,2485,Broadway Limited Imports,die cast,ebay,obtained,y,yes,no,paragon2,382
"Burnham, Wms & Co (pre-Baldwin Locomotive Works)",2-8-0,consolidation,604,Broadway Limited Imports,brass hybrid,springcreek,obtained,y,yes,yes,paragon4,430
New York Locomotive Works,2-6-0,mogul,40,Athearn,die cast,houseoftrains,available,n,yes,no,esu loksound,325
Rogers Locomotive and Machine Works,4-4-0,american,119,Bachmann,plastic,Trainworld,available,y,yes,no,econami,
Lima Locomotive Works,0-6-0,S-6 switcher,4455,Bachmann,plastic,,searching,n,,no,,
Baldwin Locomotive Works,2-6-6-2T,canadian forest products,3,mantua,plastic,ebay,obtained,y,yes,no,esu loksound,
Lima Locomotive Works,4-truck shay,mower lumber co,12,Broadway Limited Imports,die cast,lombard,obtained,y,yes,yes,paragon4,480
Climax Manufacturing Company,3-truck climax,clear lake lumber co,12,Bachmann,plastic,ebay,obtained,y,yes,no,econami,550
Heisler Locomotive Works,Heisler steam,Cass Scenic Railroad,5,Bachmann,plastic,ebay,ordered,y,yes,no,econami,428
