service_type,locotype,builder,railroad,loco_model,reporting_mark,road_number,make,dcc,sound,smoke,decoder,address,status,store,price,dated
switcher,diesel,Plymouth,Union Pacific,35T switcher,UP,6560,Broadway Limited,yes,no,no,dcc,3,owned,FactoryDirect,100,2021-06-19
switcher,diesel,NRE,Union Pacific,3GS21B,UP,2732,Atlas,no,no,no,dc,0,owned,Whistle stop train OKC,108,2021-08-04
freight,diesel,GE,Union Pacific,AC4400CW,UP,7082,ScaleTrains,yes,yes,no,LokSound5,3,owned,ScaleTrains,300,2023-09-12
freight,diesel,GE,Union Pacific,AC60CW,UP,7541,Broadway Limited,yes,yes,no,paragon2,3,owned,SpringCreek,240,2021-07-10
switcher,diesel,Baldwin,Union Pacific,AS-616,UP,1260,Bowser,yes,yes,no,loksound,3,owned,ebay,260,2022-02-08
freight,diesel,GE,Union Pacific,B23-7,UP,109,Atlas,yes,yes,no,loksound,3,owned,pwrs-ca,190,2021-08-14
freight,diesel,GE,Union Pacific,B40-8 (dash8-40B),UP,1806,Atlas,yes,yes,no,loksound,3,owned,lombard,185,2021-07-09
freight,diesel,GE,Union Pacific,C30-7,UP,2431,Broadway Limited,yes,yes,no,paragon2,3,owned,SpringCreek,216,2021-07-10
freight,diesel,GE,Union Pacific,C36-7,UP,2615,Rapido,yes,yes,no,LokSound5,2615,owned,lombard,310,2025-11-04
freight,diesel,GE,Union Pacific,C40-8 (dash 8-40C),UP,9056,Atlas,yes,yes,no,loksound,3,owned,lombard,185,2021-07-09
freight,diesel,GE,Union Pacific,C41-8W (dash 8-41CW),UP,9423,Atlas,yes,yes,no,loksound,3,owned,Atlas,200,2022-01-29
freight,diesel,GE,Union Pacific,C44-9W,UP,9574,ScaleTrains,yes,yes,no,LokSound5,3,owned,houseoftrains,265,2021-05-20
freight,diesel,GE,Union Pacific,C44ACM,UP,6151,ScaleTrains,yes,yes,no,LokSound5,3,intent,lombard,340,
freight,diesel,GE,Union Pacific,C45ACCTE,UP,7928,ScaleTrains,yes,yes,no,LokSound5,7928,owned,springCreek,285,2023-05-29
freight,diesel,GE,Union Pacific,C45AH,UP,2672,ScaleTrains,yes,yes,no,LokSound5,2672,owned,pwrs-ca,250,2021-07-03
freight,diesel,ALCo,Union Pacific,C630,UP,900,Bowser,yes,yes,no,loksound,3,owned,TrainWorld,220,2021-06-06
freight,diesel,Baldwin,Union Pacific,Centipede,UP,1600A,Broadway Limited,yes,yes,no,paragon4,3,owned,SpringCreek,240,2023-08-17
freight,diesel,Baldwin,Union Pacific,Centipede,UP,1601A,Broadway Limited,yes,yes,no,paragon4,3,owned,SpringCreek,240,2023-08-17
freight,diesel,EMD,Union Pacific,DD35,UP,80,kitbash,no,no,no,dc,0,owned,ebay,227,2023-08-23
freight,diesel,EMD,Union Pacific,DD35B,UP,94B,kitbash,no,no,no,dc,0,owned,ebay,227,2023-08-23
freight,diesel,EMD,Union Pacific,DDA40X,UP,6918,Athearn Genesis,yes,yes,no,tsunami2,3,owned,ModelTrainStuff,501,2022-03-03
passenger,diesel,EMC,Union Pacific,Doodlebug,UP,M32,Bachmann,no,no,no,dc,0,owned,ebay,141,2022-02-23
switcher,diesel,Baldwin,Union Pacific,DS-44-1000,UP,1206,Bowser,yes,yes,no,loksound,3,owned,TrainWorld,210,2021-08-05
passenger,diesel,EMD,Union Pacific,E6A,UP,SF-4,Walthers Proto,no,no,no,dc,0,owned,ebay,58,2023-07-24
passenger,diesel,EMD,Union Pacific,E6B,UP,SF-4,Walthers Proto,no,no,no,dc,0,owned,ebay,40,2023-07-24
passenger,diesel,EMD,Union Pacific,E7A,UP,927A,Broadway Limited,yes,yes,no,paragon3,3,owned,modeltraindepo,200,2022-02-23
passenger,diesel,EMD,Union Pacific,E7B,UP,928B,Broadway Limited,yes,yes,no,paragon3,3,owned,modeltraindepo,175,2022-02-23
passenger,diesel,EMD,Union Pacific,E8A,UP,940,Rapido,yes,yes,no,LokSound5,3,owned,lombard,260,2023-06-20
passenger,diesel,EMD,Union Pacific,E8B,UP,941B,Rapido,yes,yes,no,LokSound5,3,owned,lombard,260,2023-06-20
passenger,diesel,EMD,Union Pacific,E9A,UP,911,Walthers Proto,yes,yes,no,loksound5,3,owned,TrainWorld,230,2021-06-28
passenger,diesel,EMD,Union Pacific,E9B,UP,911B,Walthers Proto,yes,yes,no,loksound5,3,owned,TrainWorld,230,2021-06-28
passenger,diesel,FM,Union Pacific,Erie A,UP,706,Walthers Proto,no,no,no,dc,0,owned,ebay,100,2022-05-02
passenger,diesel,FM,Union Pacific,Erie B,UP,706B,Walthers Proto,no,no,no,dc,0,owned,ebay,75,2022-05-02
freight,diesel,EMD,Union Pacific,F3A,UP,1429,Athearn Genesis,no,no,no,dc,0,owned,lombard,110,2021-10-06
freight,diesel,EMD,Union Pacific,F3B,UP,1430B,Athearn Genesis,no,no,no,dc,0,owned,lombard,110,2021-10-06
passenger,diesel,EMD,Union Pacific,F59PHI,UP,971,Athearn  ,yes,yes,no,econami,3,owned,TrainWorld,187,2021-11-02
freight,diesel,EMD,Union Pacific,F7A,UP,1471,Athearn Genesis,yes,yes,no,tsunami2,3,owned,lombard,223,2021-09-28
freight,diesel,EMD,Union Pacific,F7B,UP,1492B,Athearn Genesis,yes,yes,no,tsunami2,3,owned,lombard,223,2021-09-28
passenger,diesel,EMD,Union Pacific,F7B,UP,910B,Intermountain,yes,yes,no,loksound,3,owned,SpringCreek,208,2022-03-08
freight,diesel,EMD,Union Pacific,F9A,UP,523,Stewart,yes,yes,no,loksound,3,owned,ebay,100,2023-12-08
freight,diesel,EMD,Union Pacific,F9B,UP,523B,Stewart,yes,yes,no,loksound,3,owned,ebay,100,2023-12-08
freight,diesel,EMD,Union Pacific,F9C,UP,523C,Stewart,no,no,no,dc,0,owned,ebay,65,2023-12-08
freight,diesel,ALCo,Union Pacific,FA1,UP,1603,Rapido,yes,yes,no,LokSound5,3,owned,SpringCreek,270,2026-01-02
freight,diesel,ALCo,Union Pacific,FB1,UP,1622B,Rapido,yes,yes,no,LokSound5,3,owned,SpringCreek,270,2026-01-02
passenger,diesel,EMD,Union Pacific,FP7A,UP,912,Intermountain,yes,yes,no,loksound,3,owned,SpringCreek,216,2021-12-15
switcher,diesel,GE,Union Pacific,GE 44 Tonner,UP,903999,Rapido,yes,yes,no,LokSound5,3,owned,the train exchange,298,2026-03-15
switcher,diesel,EMD,Union Pacific,GP15-1,UP,574,Athearn Genesis,yes,yes,no,tsunami,3,owned,SpringCreek,240,2021-11-30
switcher,diesel,EMD,Union Pacific,GP15AC,UP,719,Athearn Genesis,no,no,no,dc,0,owned,Whistle Stop Train OKC,171,2021-08-04
freight,diesel,EMD,Union Pacific,GP20,UP,489,Broadway Limited,yes,yes,no,paragon4,3,owned,TrainWorld,264,2021-08-05
freight,diesel,EMD,Union Pacific,GP30,UP,734,Walthers Proto,no,no,no,dc,0,owned,SpringCreek,165,2021-12-15
freight,diesel,EMD,Union Pacific,GP30,UP,812,ScaleTrains,yes,yes,no,LokSound5,3,owned,ScaleTrains,290,2023-07-05
freight,diesel,EMD,Union Pacific,GP30B,UP,726B,ScaleTrains,yes,yes,no,LokSound5,3,owned,ScaleTrains,290,2023-07-05
freight,diesel,EMD,Union Pacific,GP35,UP,760,Athearn,no,no,no,dc,0,owned,SpringCreek,96,2021-12-15
freight,diesel,EMD,Union Pacific,GP38N,UP,700,Athearn Genesis,yes,yes,no,tsunami2,3,owned,lombard,225,2021-10-06
